"SUBJECTID" "Run_number"
"1" "PA006" "RUN1"
"2" "PA006" "RUN2"
"3" "PA025" "RUN1"
"4" "PA025" "RUN2"
"5" "PA031" "RUN1"
"6" "PA031" "RUN2"
"7" "PA033" "RUN1"
"8" "PA033" "RUN2"
"9" "PA040" "RUN1"
"10" "PA040" "RUN2"
"11" "PA042" "RUN1"
"12" "PA042" "RUN2"
"13" "PA043" "RUN1"
"14" "PA043" "RUN2"
"15" "PA044" "RUN2"
"16" "PA046" "RUN2"
"17" "PA049" "RUN1"
"18" "PA049" "RUN2"
"19" "PA050" "RUN1"
"20" "PA050" "RUN2"
"21" "PA052" "RUN1"
"22" "PA052" "RUN2"
"23" "PA059" "RUN1"
"24" "PA059" "RUN2"
"25" "PA061" "RUN1"
"26" "PA061" "RUN2"
"27" "PA062" "RUN1"
"28" "PA065" "RUN1"
"29" "PA065" "RUN2"
"30" "PA067" "RUN1"
"31" "PA068" "RUN1"
"32" "PA068" "RUN2"
"33" "PA069" "RUN1"
"34" "PA069" "RUN2"
"35" "PA070" "RUN1"
"36" "PA070" "RUN2"
"37" "PA072" "RUN1"
"38" "PA073" "RUN1"
"39" "PA073" "RUN2"
"40" "PA074" "RUN1"
"41" "PA074" "RUN2"
"42" "PA075" "RUN1"
"43" "PA075" "RUN2"
"44" "PA077" "RUN1"
"45" "PA077" "RUN2"
"46" "PA078" "RUN1"
"47" "PA078" "RUN2"
"48" "PA079" "RUN1"
"49" "PA079" "RUN2"
"50" "PA083" "RUN1"
"51" "PA084" "RUN1"
"52" "PA084" "RUN2"
"53" "PA085" "RUN1"
"54" "PA085" "RUN2"
"55" "PA086" "RUN1"
"56" "PA086" "RUN2"
"57" "PA087" "RUN1"
"58" "PA087" "RUN2"
"59" "PA088" "RUN1"
"60" "PA088" "RUN2"
"61" "PA089" "RUN1"
"62" "PA089" "RUN2"
"63" "PA090" "RUN1"
"64" "PA090" "RUN2"
"65" "PA091" "RUN1"
"66" "PA091" "RUN2"
"67" "PA092" "RUN1"
"68" "PA092" "RUN2"
"69" "PA094" "RUN1"
"70" "PA094" "RUN2"
"71" "PA095" "RUN1"
"72" "PA095" "RUN2"
"73" "PA096" "RUN1"
"74" "PA097" "RUN1"
"75" "PA097" "RUN2"
"76" "PA098" "RUN1"
"77" "PA098" "RUN2"
"78" "PA099" "RUN1"
"79" "PA099" "RUN2"
"80" "PA101" "RUN1"
"81" "PA101" "RUN2"
"82" "PA103" "RUN1"
"83" "PA103" "RUN2"
"84" "PA104" "RUN1"
"85" "PA104" "RUN2"
"86" "PA109" "RUN1"
"87" "PA109" "RUN2"
"88" "PA110" "RUN1"
"89" "PA110" "RUN2"
"90" "PA112" "RUN1"
"91" "PA113" "RUN1"
"92" "PA113" "RUN2"
"93" "PA114" "RUN1"
"94" "PA114" "RUN2"
"95" "PA115" "RUN1"
"96" "PA115" "RUN2"
"97" "PA117" "RUN1"
"98" "PA117" "RUN2"
"99" "PA118" "RUN1"
"100" "PA118" "RUN2"
"101" "PA119" "RUN1"
"102" "PA119" "RUN2"
"103" "PA121" "RUN1"
"104" "PA121" "RUN2"
"105" "PA122" "RUN1"
"106" "PA122" "RUN2"
"107" "PA123" "RUN1"
"108" "PA123" "RUN2"
"109" "PA124" "RUN1"
"110" "PA124" "RUN2"
"111" "PA125" "RUN1"
"112" "PA126" "RUN1"
"113" "PA126" "RUN2"
"114" "PA127" "RUN1"
"115" "PA127" "RUN2"
"116" "PA128" "RUN1"
"117" "PA128" "RUN2"
"118" "PA129" "RUN1"
"119" "PA129" "RUN2"
"120" "PA130" "RUN1"
"121" "PA130" "RUN2"
"122" "PA131" "RUN1"
"123" "PA132" "RUN1"
"124" "PA132" "RUN2"
"125" "PA133" "RUN1"
"126" "PA133" "RUN2"
"127" "PA134" "RUN1"
"128" "PA134" "RUN2"
"129" "PA135" "RUN1"
"130" "PA135" "RUN2"
"131" "PA136" "RUN1"
"132" "PA136" "RUN2"
"133" "PA137" "RUN1"
"134" "PA137" "RUN2"
"135" "PA138" "RUN1"
"136" "PA138" "RUN2"
"137" "PA139" "RUN1"
"138" "PA139" "RUN2"
"139" "PA140" "RUN1"
"140" "PA140" "RUN2"
"141" "PA141" "RUN1"
"142" "PA141" "RUN2"
"143" "PA142" "RUN1"
"144" "PA142" "RUN2"
"145" "PA143" "RUN1"
"146" "PA143" "RUN2"
"147" "PA144" "RUN1"
"148" "PA146" "RUN1"
"149" "PA146" "RUN2"
"150" "PA148" "RUN2"
"151" "PA149" "RUN1"
"152" "PA149" "RUN2"
"153" "PA150" "RUN1"
"154" "PA150" "RUN2"
"155" "PA152" "RUN1"
"156" "PA152" "RUN2"
"157" "PA153" "RUN1"
"158" "PA154" "RUN1"
"159" "PA154" "RUN2"
"160" "PA155" "RUN1"
"161" "PA155" "RUN2"
"162" "PA156" "RUN1"
"163" "PA156" "RUN2"
"164" "PA157" "RUN2"
"165" "PA158" "RUN1"
"166" "PA158" "RUN2"
"167" "PA159" "RUN1"
"168" "PA159" "RUN2"
"169" "PA160" "RUN1"
"170" "PA160" "RUN2"
"171" "PA162" "RUN1"
"172" "PA162" "RUN2"
"173" "PA164" "RUN1"
"174" "PA164" "RUN2"
"175" "PA165" "RUN1"
"176" "PA165" "RUN2"
"177" "PA166" "RUN1"
"178" "PA166" "RUN2"
"179" "PA167" "RUN1"
"180" "PA167" "RUN2"
"181" "PA168" "RUN2"
"182" "PA169" "RUN1"
"183" "PA169" "RUN2"
"184" "PA170" "RUN1"
"185" "PA170" "RUN2"
"186" "PA171" "RUN1"
"187" "PA171" "RUN2"
"188" "PA172" "RUN1"
"189" "PA172" "RUN2"
"190" "PA173" "RUN1"
"191" "PA173" "RUN2"
"192" "PA174" "RUN1"
"193" "PA174" "RUN2"
"194" "PA175" "RUN1"
"195" "PA175" "RUN2"
"196" "PA176" "RUN1"
"197" "PA177" "RUN1"
"198" "PA177" "RUN2"
"199" "PA178" "RUN1"
"200" "PA178" "RUN2"
"201" "PA179" "RUN1"
"202" "PA179" "RUN2"
"203" "PA180" "RUN1"
"204" "PA180" "RUN2"
"205" "PA181" "RUN1"
"206" "PA181" "RUN2"
"207" "PA182" "RUN1"
"208" "PA182" "RUN2"
"209" "PA183" "RUN1"
"210" "PA183" "RUN2"
"211" "PA184" "RUN1"
"212" "PA184" "RUN2"
"213" "PA185" "RUN1"
"214" "PA185" "RUN2"
"215" "PA187" "RUN1"
"216" "PA187" "RUN2"
"217" "PA188" "RUN1"
"218" "PA188" "RUN2"
"219" "PA189" "RUN1"
"220" "PA189" "RUN2"
"221" "PA190" "RUN1"
"222" "PA190" "RUN2"
"223" "PA191" "RUN1"
"224" "PA191" "RUN2"
"225" "PA192" "RUN1"
"226" "PA192" "RUN2"
"227" "PA193" "RUN1"
"228" "PA193" "RUN2"
"229" "PA194" "RUN1"
"230" "PA194" "RUN2"
"231" "PA195" "RUN1"
"232" "PA195" "RUN2"
"233" "PA196" "RUN1"
"234" "PA196" "RUN2"
"235" "PA197" "RUN2"
"236" "PA198" "RUN1"
"237" "PA198" "RUN2"
"238" "PA199" "RUN1"
"239" "PA199" "RUN2"
"240" "PA201" "RUN2"
"241" "PA202" "RUN1"
"242" "PA202" "RUN2"
"243" "PA203" "RUN1"
"244" "PA203" "RUN2"
"245" "PA204" "RUN1"
"246" "PA204" "RUN2"
"247" "PA205" "RUN1"
"248" "PA205" "RUN2"
"249" "PA207" "RUN1"
"250" "PA207" "RUN2"
"251" "PA208" "RUN1"
"252" "PA208" "RUN2"
"253" "PA209" "RUN1"
"254" "PA209" "RUN2"
"255" "PA210" "RUN1"
"256" "PA210" "RUN2"
"257" "PA211" "RUN1"
"258" "PA211" "RUN2"
"259" "PA212" "RUN1"
"260" "PA212" "RUN2"
"261" "PA213" "RUN1"
"262" "PA213" "RUN2"
"263" "PA214" "RUN1"
"264" "PA214" "RUN2"
"265" "PA215" "RUN1"
"266" "PA215" "RUN2"
"267" "PA220" "RUN1"
"268" "PA220" "RUN2"
"269" "PA222" "RUN1"
"270" "PA222" "RUN2"
"271" "PA223" "RUN1"
"272" "PA223" "RUN2"
"273" "PA225" "RUN1"
"274" "PA225" "RUN2"
"275" "PA226" "RUN1"
"276" "PA226" "RUN2"
"277" "PA228" "RUN1"
"278" "PA228" "RUN2"
"279" "PA229" "RUN1"
"280" "PA229" "RUN2"
"281" "PA230" "RUN1"
"282" "PA230" "RUN2"
"283" "PA231" "RUN1"
"284" "PA231" "RUN2"
"285" "PA233" "RUN1"
"286" "PA233" "RUN2"
"287" "PA234" "RUN1"
"288" "PA234" "RUN2"
"289" "PA235" "RUN1"
"290" "PA235" "RUN2"
"291" "PA237" "RUN1"
"292" "PA237" "RUN2"
"293" "PA238" "RUN1"
"294" "PA238" "RUN2"
"295" "PA239" "RUN1"
"296" "PA239" "RUN2"
"297" "PA240" "RUN1"
"298" "PA240" "RUN2"
"299" "PA241" "RUN1"
"300" "PA241" "RUN2"
"301" "PA243" "RUN1"
"302" "PA243" "RUN2"
"303" "PA244" "RUN1"
"304" "PA244" "RUN2"
"305" "PA248" "RUN1"
"306" "PA248" "RUN2"
"307" "PA249" "RUN1"
"308" "PA249" "RUN2"
"309" "PA250" "RUN1"
"310" "PA250" "RUN2"
"311" "PA251" "RUN1"
"312" "PA251" "RUN2"
"313" "PA252" "RUN1"
"314" "PA252" "RUN2"
"315" "PA253" "RUN1"
"316" "PA254" "RUN1"
"317" "PA254" "RUN2"
"318" "PA255" "RUN1"
"319" "PA255" "RUN2"
"320" "PA256" "RUN1"
"321" "PA256" "RUN2"
"322" "PA259" "RUN1"
"323" "PA259" "RUN2"
"324" "PA260" "RUN1"
"325" "PA260" "RUN2"
